YEAR,JURISDICTION,AGE_GROUP,Sum(FINES),Sum(ARRESTS),Sum(CHARGES),Licence Holders,"Fines per 10,000 licence holders"
2010,ACT,All ages,58705,0,0,287134,2044.515801
2010,NSW,All ages,390746,0,0,2037055,1918.190721
2010,NT,All ages,26775,0,0,132561,2019.824835
2010,QLD,All ages,440622,0,0,3132341,1406.685926
2010,SA,All ages,91335,0,0,1130920,807.6168076
2010,TAS,All ages,37376,0,0,363291,1028.817119
2010,VIC,All ages,1172460,0,0,3978322,2947.121927
2010,WA,All ages,300344,0,0,1566465,1917.336168
2011,ACT,All ages,56719,0,0,294174,1928.076581
2011,NSW,All ages,389649,0,0,2066073,1885.940139
2011,NT,All ages,24633,0,0,133035,1851.617995
2011,QLD,All ages,588714,0,0,3240939,1816.492072
2011,SA,All ages,61859,0,0,1138713,543.236092
2011,TAS,All ages,24427,0,0,367296,665.0494424
2011,VIC,All ages,1151555,0,0,4060582,2835.935834
2011,WA,All ages,558552,0,0,1605793,3478.356177
2012,ACT,All ages,54201,0,0,301841,1795.680507
2012,NSW,All ages,432586,0,0,2082150,2077.592873
2012,NT,All ages,27730,0,0,138077,2008.299717
2012,QLD,All ages,653679,0,0,3301004,1980.242981
2012,SA,All ages,54773,0,0,1151821,475.5339588
2012,TAS,All ages,7410,0,0,365359,202.8142183
2012,VIC,All ages,1185037,0,0,4135725,2865.367015
2012,WA,All ages,588746,0,0,1623226,3627.011889
2013,ACT,All ages,51948,0,0,307834,1687.532891
2013,NSW,All ages,426904,0,0,2091672,2040.970095
2013,NT,All ages,24536,0,0,146404,1675.910494
2013,QLD,All ages,762905,0,0,3374824,2260.577144
2013,SA,All ages,74391,0,0,1183292,628.6782975
2013,TAS,All ages,7517,0,0,365295,205.778891
2013,VIC,All ages,1015986,0,0,4228230,2402.86361
2013,WA,All ages,543491,0,0,1854446,2930.745894
2014,ACT,All ages,45120,0,0,314244,1435.826937
2014,NSW,All ages,468465,0,0,2112614,2217.466134
2014,NT,All ages,22871,0,0,150653,1518.124432
2014,QLD,All ages,1004090,0,0,3384271,2966.931431
2014,SA,All ages,100562,0,0,1196554,840.4301018
2014,TAS,All ages,9250,0,0,366231,252.5728297
2014,VIC,All ages,1307924,0,0,4310687,3034.142818
2014,WA,All ages,711518,0,0,1896560,3751.623993
2015,ACT,All ages,50640,0,0,312267,1621.689131
2015,NSW,All ages,486571,0,0,2151555,2261.485298
2015,NT,All ages,24928,0,0,152268,1637.11351
2015,QLD,All ages,1076622,0,0,3432170,3136.855109
2015,SA,All ages,85282,0,0,1206194,707.0338602
2015,TAS,All ages,15220,0,0,370296,411.0225333
2015,VIC,All ages,1306201,0,0,4384609,2979.05925
2015,WA,All ages,752276,0,0,1928430,3900.976442
2016,ACT,All ages,55750,0,0,328377,1697.743752
2016,NSW,All ages,494676,0,0,2186962,2261.932306
2016,NT,All ages,22239,0,0,154405,1440.303099
2016,QLD,All ages,659305,0,0,3505706,1880.662554
2016,SA,All ages,182856,0,0,1229167,1487.64163
2016,TAS,All ages,15977,0,0,379305,421.2177535
2016,VIC,All ages,1266642,0,0,4474502,2830.799942
2016,WA,All ages,567954,0,0,1952879,2908.290785
2017,ACT,All ages,52913,0,0,324439,1630.907505
2017,NSW,All ages,731953,0,0,2228765,3284.119232
2017,NT,All ages,22556,0,0,156344,1442.716062
2017,QLD,All ages,733717,0,0,3580836,2049.010343
2017,SA,All ages,162804,0,0,1232106,1321.347352
2017,TAS,All ages,13095,0,0,380215,344.4103994
2017,VIC,All ages,1220180,0,0,4565595,2672.55418
2017,WA,All ages,754183,0,0,1965031,3838.020876
2018,ACT,All ages,66449,0,0,330574,2010.109688
2018,NSW,All ages,681389,0,0,2264293,3009.279276
2018,NT,All ages,37452,0,0,157296,2380.988709
2018,QLD,All ages,1021423,0,0,3657643,2792.57161
2018,SA,All ages,174731,0,0,1246015,1402.318592
2018,TAS,All ages,8609,0,0,387773,222.0113314
2018,VIC,All ages,1600565,0,0,4665764,3430.445689
2018,WA,All ages,689198,0,0,1977775,3484.713883
2019,ACT,All ages,59330,0,0,329637,1799.858632
2019,NSW,All ages,658793,0,0,2292440,2873.763326
2019,NT,All ages,39500,0,0,156344,2526.48007
2019,QLD,All ages,1041780,0,0,3719766,2800.660042
2019,SA,All ages,202914,0,0,1258216,1612.711967
2019,TAS,All ages,6738,0,0,398452,169.1044342
2019,VIC,All ages,1004679,0,0,4748539,2115.764449
2019,WA,All ages,682996,0,0,1992380,3428.040836
2020,ACT,All ages,57612,0,0,326495,1764.559947
2020,NSW,All ages,915316,0,0,2308816,3964.438916
2020,NT,All ages,40921,0,0,157831,2592.709924
2020,QLD,All ages,910858,0,0,3806397,2392.966367
2020,SA,All ages,175237,0,0,1271948,1377.705692
2020,TAS,All ages,40751,0,0,406437,1002.640016
2020,VIC,All ages,937192,0,0,4807706,1949.353808
2020,WA,All ages,695586,0,0,2013336,3454.892775
2021,ACT,All ages,113807,0,0,326454,3486.157315
2021,NSW,All ages,1452620,0,0,2355756,6166.258305
2021,NT,All ages,38648,0,0,159208,2427.516205
2021,QLD,All ages,978926,0,0,3888986,2517.175428
2021,SA,All ages,202693,0,0,1294479,1565.826869
2021,TAS,All ages,39228,0,0,416263,942.3849826
2021,VIC,All ages,1231672,0,0,4895143,2516.110357
2021,WA,All ages,809544,0,0,2036282,3975.598665
2022,NSW,All ages,1217596,0,0,2389710,5095.162174
2022,NT,All ages,33642,0,0,159063,2115.011033
2022,QLD,All ages,849399,0,0,3973138,2137.85426
2022,SA,All ages,186196,0,0,1329139,1400.876808
2022,TAS,All ages,42737,0,0,423676,1008.718927
2022,VIC,All ages,1378231,0,0,4968836,2773.75023
2022,WA,All ages,843541,0,0,2078263,4058.875128
2023,ACT,0-16,58,0,0,4600.75,126.0664022
2023,ACT,17-25,9007,0,0,45719.25,1970.067313
2023,ACT,26-39,19950,0,0,100772,1979.716588
2023,ACT,40-64,31836,0,0,133512.5,2384.495834
2023,ACT,65 and over,9925,0,0,56815.5,1746.882453
2023,NSW,0-16,127,0,36,45107,28.15527523
2023,NSW,17-25,43780,0,600,80091.5,5466.247979
2023,NSW,26-39,60280,0,519,779153.7,773.6599338
2023,NSW,40-64,59426,0,230,1522379.8,390.3493727
2023,NSW,65 and over,12036,0,8,161361,745.9051444
2023,NT,0-16,57,0,1,2019.5,282.2480812
2023,NT,17-25,5649,12,62,23120.5,2443.286261
2023,NT,26-39,14283,24,99,52578,2716.535433
2023,NT,40-64,17659,0,0,63381,2786.166201
2023,NT,65 and over,4188,8,52,20262,2066.923305
2023,SA,0-16,21,8,1,17072.5,12.30048323
2023,SA,17-25,24364,27,69,170104.1,1432.299398
2023,SA,26-39,56350,32,109,320033.4,1760.753721
2023,SA,40-64,90037,34,97,529484.5,1700.465264
2023,SA,65 and over,28380,1,6,303365.5,935.5051909
2023,TAS,0-16,18,0,13,5383.5,33.43549735
2023,TAS,17-25,9407,0,100,51005.9,1844.296444
2023,TAS,26-39,20286,0,154,98700.6,2055.306655
2023,TAS,40-64,26326,0,91,164821,1597.247924
2023,TAS,65 and over,8968,0,3,106617,841.1416566
2023,VIC,0-16,15,0,0,60789,2.467551695
2023,VIC,17-25,93157,0,0,648872.2,1435.675623
2023,VIC,26-39,312408,0,0,1383733.8,2257.717489
2023,VIC,40-64,492629,0,0,2011328.5,2449.271713
2023,VIC,65 and over,147705,0,0,993187.5,1487.181423
2023,WA,0-16,34,1,16,28520,11.92145863
2023,WA,17-25,95909,5,292,282053.8,3400.379644
2023,WA,26-39,246081,6,571,558293.2,4407.737726
2023,WA,40-64,373492,1,589,856087.5,4362.778337
2023,WA,65 and over,91599,0,89,407302.5,2248.918187
2024,ACT,0-16,43,2,2,4766.5,90.21294451
2024,ACT,17-25,9191,4,31,45677.3,2012.159213
2024,ACT,26-39,19746,3,32,100885.2,1957.274209
2024,ACT,40-64,29478,1,19,136757.5,2155.494214
2024,ACT,65 and over,8971,0,0,59805.5,1500.029262
2024,NSW,0-16,164,0,33,45473,36.06535746
2024,NSW,17-25,48125,0,737,83423.5,5768.758204
2024,NSW,26-39,62707,0,498,804213.5,779.7307556
2024,NSW,40-64,62799,0,262,1549921,405.1754896
2024,NSW,65 and over,13071,0,9,1549921,84.33333054
2024,NT,0-16,59,5,10,2082.25,283.3473406
2024,NT,17-25,6042,8,81,23831.15,2535.337153
2024,NT,26-39,15904,13,95,52683.6,3018.776242
2024,NT,40-64,20023,15,88,63680.5,3144.290638
2024,NT,65 and over,4350,0,18,21138.5,2057.856518
2024,QLD,0-16,18147,0,0,60641.5,2992.505133
2024,QLD,17-25,121629,0,0,564851.5,2153.291617
2024,QLD,26-39,237465,0,0,1013391,2343.271255
2024,QLD,40-64,330434,0,0,1668204,1980.776931
2024,QLD,65 and over,84968,0,0,847864,1002.141853
2024,SA,0-16,37,2,3,17773,20.81809486
2024,SA,17-25,22830,24,97,173253.4,1317.723058
2024,SA,26-39,50588,39,123,325153.6,1555.818542
2024,SA,40-64,79759,28,114,534305,1492.761625
2024,SA,65 and over,27441,0,8,312063,879.3416714
2024,TAS,0-16,8,0,7,5641.75,14.17999734
2024,TAS,17-25,10397,0,123,51279.05,2027.533661
2024,TAS,26-39,22615,0,157,98808.2,2288.777652
2024,TAS,40-64,30484,0,108,164834.5,1849.370126
2024,TAS,65 and over,11468,0,3,109301.5,1049.207925
2024,VIC,0-16,31,0,0,63983,4.845036963
2024,VIC,17-25,76099,0,0,679600.8,1119.760306
2024,VIC,26-39,226307,0,0,1434223.2,1577.906423
2024,VIC,40-64,350286,0,0,2053555,1705.754168
2024,VIC,65 and over,105907,0,0,1029046,1029.176538
2024,WA,0-16,1153,0,10,29886.25,385.7961437
2024,WA,17-25,57592,3,343,292292.35,1970.356049
2024,WA,26-39,144596,16,623,576363.4,2508.764436
2024,WA,40-64,215275,4,651,873442.5,2464.672832
2024,WA,65 and over,54217,0,58,422831.5,1282.236541
